date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
19-04-2015,223.455994,226.352997,222.373001,222.600006,15021500,31.2616047,34.81680058,-10.0243348,-68.77011158,257.606821,246.0445804,245.4558707,248.4915751,-9.299835448,239.2127511,3.979996,6.540482102,7.781405615,224.626007
20-04-2015,222.612,226.350998,221.977005,224.626007,18364700,36.86181853,37.02834555,29.71665333,-56.90117655,256.8953012,245.1942021,244.9541708,247.9601054,-9.06559098,238.2328515,4.373993,6.230983645,7.537948837,235.268997
21-04-2015,224.619995,235.268997,224.300995,235.268997,24978000,57.88869326,47.16883607,174.4204044,11.40801912,256.0872809,244.8003351,244.6502608,247.6781788,-7.929892195,237.6327012,10.968002,6.907700578,7.783018217,234.175995
22-04-2015,235.602005,237.908997,233.475998,234.175995,23847900,55.66748957,46.34347414,146.4354984,61.84068249,255.1367609,244.3789211,244.3140608,247.3789564,-7.036906462,236.6912506,4.432999,6.55417177,7.543671654,236.462006
23-04-2015,234.052994,236.475006,233.199005,236.462006,17036000,59.46284182,48.3780132,95.41544581,77.847095,254.4041608,244.065038,244.420071,247.1375949,-6.074748943,235.7982507,3.276001,6.085861647,7.238767681,231.268005
24-04-2015,235.970001,236.304993,229.932999,231.268005,21448700,48.46456625,44.27060959,42.46914795,51.16466273,253.5059607,243.557891,244.951721,246.7875436,-5.665970422,234.6768006,6.529007,6.149168128,7.188059625,226.389999
25-04-2015,231.235001,232.561005,226.337006,226.389999,13957200,40.29784317,40.7696929,-29.05725644,6.57677641,252.5793008,242.8778084,245.1171811,246.3386274,-5.67020894,232.966401,6.223999,6.159858253,7.119184448,219.429993
26-04-2015,226.410004,226.944,214.873993,219.429993,28943700,31.47032213,36.35244414,-136.0175145,-100.5433953,251.442681,241.9493248,245.230511,245.7477168,-6.164056387,231.1633004,12.070007,7.004165231,7.472879975,229.285995
27-04-2015,219.429001,233.304993,218.022995,229.285995,38574000,49.68102485,45.37771302,-51.42431948,0.717553982,250.5413208,241.4480754,245.530771,245.3869976,-5.694582291,229.9686005,15.281998,8.186712787,8.030769826,225.854996
28-04-2015,228.968994,229.494995,223.069,225.854996,21469200,44.84158026,43.08720792,-47.99186792,-19.26785739,249.2662808,240.831085,245.6859309,244.959902,-5.535533582,229.0102502,6.425995,7.935181671,7.91612479,225.807999
29-04-2015,225.591003,227.039993,223.429993,225.807999,18936500,44.77188445,43.05514907,-45.20587073,-37.55470943,247.9472406,240.2368577,245.795401,244.5419806,-5.351587602,228.1168504,3.61,7.317298569,7.608498944,236.145004
30-04-2015,225.692993,239.563004,224.992996,236.145004,33818600,60.51859265,51.58746167,119.246831,90.41341805,246.7425607,240.0750622,246.043701,244.359116,-4.321953196,228.1205003,14.570008,8.353399926,8.105817899,232.078995
